state,date,positive,negative,pending,hospitalized,death,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,total
AK,20200325,42.0,1649.0,,1.0,1.0,1691,1.0,1.0,663.0,6.0,669.0,1691
AL,20200325,283.0,2529.0,,,0.0,2812,0.0,0.0,423.0,68.0,491.0,2812
AR,20200325,280.0,1437.0,0.0,22.0,2.0,1717,2.0,0.0,490.0,62.0,552.0,1717
AS,20200325,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200325,450.0,323.0,53.0,8.0,6.0,773,1.0,0.0,10.0,93.0,103.0,826
CA,20200325,2102.0,13452.0,12100.0,,40.0,15554,0.0,0.0,0.0,0.0,0.0,27654
CO,20200325,912.0,6789.0,,84.0,11.0,7701,4.0,12.0,1285.0,192.0,1477.0,7701
CT,20200325,875.0,5023.0,,113.0,19.0,5898,7.0,42.0,341.0,257.0,598.0,5898
DC,20200325,183.0,1423.0,3.0,,2.0,1606,0.0,0.0,228.0,46.0,274.0,1609
DE,20200325,115.0,36.0,,11.0,0.0,151,0.0,11.0,0.0,24.0,24.0,151
FL,20200325,1682.0,15374.0,1233.0,316.0,22.0,17056,4.0,57.0,2247.0,270.0,2517.0,18289
GA,20200325,1247.0,4932.0,,394.0,40.0,6179,8.0,394.0,474.0,221.0,695.0,6179
GU,20200325,37.0,233.0,,10.0,1.0,270,0.0,5.0,32.0,5.0,37.0,270
HI,20200325,90.0,4357.0,,6.0,1.0,4447,0.0,2.0,768.0,13.0,781.0,4447
IA,20200325,145.0,2578.0,,36.0,1.0,2723,1.0,9.0,263.0,21.0,284.0,2723
ID,20200325,73.0,1887.0,,,0.0,1960,0.0,0.0,0.0,23.0,23.0,1960
IL,20200325,1865.0,12344.0,,,19.0,14209,3.0,0.0,2410.0,314.0,2724.0,14209
IN,20200325,477.0,2879.0,,1.0,14.0,3356,2.0,0.0,313.0,112.0,425.0,3356
KS,20200325,126.0,2360.0,,,3.0,2486,1.0,0.0,274.0,28.0,302.0,2486
KY,20200325,157.0,2865.0,,,4.0,3022,0.0,0.0,1123.0,33.0,1156.0,3022
LA,20200325,1795.0,9656.0,,491.0,65.0,11451,19.0,220.0,2441.0,407.0,2848.0,11451
MA,20200325,1838.0,17956.0,,103.0,15.0,19794,4.0,9.0,5366.0,679.0,6045.0,19794
MD,20200325,423.0,94.0,,,4.0,517,1.0,0.0,0.0,74.0,74.0,517
ME,20200325,149.0,3177.0,,,,3326,0.0,0.0,163.0,24.0,187.0,3326
MI,20200325,2294.0,2069.0,,,43.0,4363,19.0,0.0,0.0,503.0,503.0,4363
MN,20200325,287.0,11188.0,,35.0,1.0,11475,0.0,14.0,5638.0,25.0,5663.0,11475
MO,20200325,356.0,369.0,,,8.0,725,5.0,0.0,0.0,173.0,173.0,725
MP,20200325,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200325,377.0,1566.0,,117.0,2.0,1943,1.0,31.0,14.0,57.0,71.0,1943
MT,20200325,53.0,1948.0,,,,2001,0.0,0.0,305.0,7.0,312.0,2001
NC,20200325,504.0,9985.0,,29.0,1.0,10489,1.0,29.0,1844.0,106.0,1950.0,10489
ND,20200325,39.0,1734.0,,8.0,0.0,1773,0.0,3.0,280.0,5.0,285.0,1773
NE,20200325,61.0,1304.0,,,0.0,1365,0.0,0.0,329.0,9.0,338.0,1365
NH,20200325,108.0,2356.0,804.0,13.0,1.0,2464,0.0,2.0,909.0,7.0,916.0,3268
NJ,20200325,4402.0,10452.0,,,62.0,14854,18.0,0.0,2127.0,727.0,2854.0,14854
NM,20200325,100.0,6742.0,,,1.0,6842,1.0,0.0,852.0,17.0,869.0,6842
NV,20200325,321.0,4251.0,0.0,,6.0,4572,2.0,0.0,297.0,43.0,340.0,4572
NY,20200325,30811.0,72668.0,,3805.0,285.0,103479,75.0,571.0,7063.0,5146.0,12209.0,103479
OH,20200325,704.0,14060.0,,182.0,10.0,14764,2.0,37.0,13920.0,140.0,14060.0,14764
OK,20200325,164.0,805.0,,59.0,5.0,969,2.0,34.0,70.0,58.0,128.0,969
OR,20200325,209.0,4350.0,,61.0,8.0,4559,0.0,0.0,0.0,0.0,0.0,4559
PA,20200325,1127.0,11193.0,,,11.0,12320,4.0,0.0,2550.0,276.0,2826.0,12320
PR,20200325,51.0,317.0,70.0,,2.0,368,0.0,0.0,49.0,12.0,61.0,438
RI,20200325,124.0,1143.0,196.0,16.0,,1267,0.0,16.0,23.0,18.0,41.0,1463
SC,20200325,424.0,2303.0,,102.0,7.0,2727,2.0,102.0,291.0,126.0,417.0,2727
SD,20200325,41.0,819.0,268.0,,1.0,860,0.0,0.0,29.0,11.0,40.0,1128
TN,20200325,784.0,11012.0,,53.0,3.0,11796,1.0,53.0,495.0,117.0,612.0,11796
TX,20200325,974.0,12520.0,,,12.0,13494,3.0,0.0,1763.0,564.0,2327.0,13494
UT,20200325,346.0,6491.0,,,1.0,6837,0.0,0.0,967.0,47.0,1014.0,6837
VA,20200325,391.0,4979.0,,59.0,9.0,5370,2.0,14.0,799.0,101.0,900.0,5370
VI,20200325,17.0,55.0,2.0,,0.0,72,0.0,0.0,55.0,0.0,55.0,74
VT,20200325,123.0,1589.0,,,8.0,1712,1.0,0.0,149.0,28.0,177.0,1712
WA,20200325,2469.0,31712.0,,,123.0,34181,13.0,0.0,0.0,248.0,248.0,34181
WI,20200325,585.0,10089.0,,,7.0,10674,2.0,0.0,1852.0,128.0,1980.0,10674
WV,20200325,39.0,759.0,6.0,1.0,0.0,798,0.0,0.0,149.0,19.0,168.0,804
WY,20200325,44.0,954.0,,,,998,0.0,0.0,244.0,15.0,259.0,998
AK,20200324,36.0,986.0,,0.0,,1022,0.0,0.0,40.0,14.0,54.0,1022
AL,20200324,215.0,2106.0,,,0.0,2321,0.0,0.0,441.0,48.0,489.0,2321
AR,20200324,218.0,947.0,0.0,22.0,0.0,1165,0.0,9.0,41.0,44.0,85.0,1165
AS,20200324,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200324,357.0,313.0,22.0,8.0,5.0,670,3.0,8.0,4.0,92.0,96.0,692
CA,20200324,2102.0,13452.0,12100.0,,40.0,15554,13.0,0.0,885.0,369.0,1254.0,27654
CO,20200324,720.0,5504.0,,72.0,7.0,6224,1.0,14.0,659.0,129.0,788.0,6224
CT,20200324,618.0,4682.0,,71.0,12.0,5300,2.0,17.0,597.0,203.0,800.0,5300
DC,20200324,137.0,1195.0,2.0,,2.0,1332,0.0,0.0,82.0,21.0,103.0,1334
DE,20200324,91.0,36.0,,0.0,0.0,127,0.0,0.0,0.0,23.0,23.0,127
FL,20200324,1412.0,13127.0,1008.0,259.0,18.0,14539,4.0,42.0,2064.0,241.0,2305.0,15547
GA,20200324,1026.0,4458.0,,,32.0,5484,7.0,0.0,161.0,254.0,415.0,5484
GU,20200324,32.0,201.0,,5.0,1.0,233,0.0,5.0,40.0,3.0,43.0,233
HI,20200324,77.0,3589.0,,4.0,1.0,3666,1.0,4.0,634.0,21.0,655.0,3666
IA,20200324,124.0,2315.0,,27.0,,2439,0.0,27.0,272.0,19.0,291.0,2439
ID,20200324,50.0,1887.0,,,0.0,1937,0.0,0.0,578.0,3.0,581.0,1937
IL,20200324,1551.0,9934.0,,,16.0,11485,4.0,0.0,1351.0,266.0,1617.0,11485
IN,20200324,365.0,2566.0,,1.0,12.0,2931,5.0,0.0,865.0,106.0,971.0,2931
KS,20200324,98.0,2086.0,,,2.0,2184,0.0,0.0,1669.0,16.0,1685.0,2184
KY,20200324,124.0,1742.0,,,4.0,1866,1.0,0.0,-20.0,20.0,0.0,1866
LA,20200324,1388.0,7215.0,,271.0,46.0,8603,12.0,271.0,2439.0,216.0,2655.0,8603
MA,20200324,1159.0,12590.0,,94.0,11.0,13749,2.0,15.0,4445.0,382.0,4827.0,13749
MD,20200324,349.0,94.0,,,3.0,443,0.0,0.0,0.0,61.0,61.0,443
ME,20200324,125.0,3014.0,,,,3139,0.0,0.0,223.0,18.0,241.0,3139
MI,20200324,1791.0,2069.0,,,24.0,3860,9.0,0.0,0.0,463.0,463.0,3860
MN,20200324,262.0,5550.0,,21.0,1.0,5812,0.0,4.0,1039.0,27.0,1066.0,5812
MO,20200324,183.0,369.0,,,3.0,552,0.0,0.0,0.0,0.0,0.0,552
MP,20200324,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200324,320.0,1552.0,,86.0,1.0,1872,0.0,53.0,409.0,71.0,480.0,1872
MT,20200324,46.0,1643.0,,,,1689,0.0,0.0,497.0,12.0,509.0,1689
NC,20200324,398.0,8141.0,,,0.0,8539,0.0,0.0,0.0,101.0,101.0,8539
ND,20200324,34.0,1454.0,,5.0,0.0,1488,0.0,1.0,101.0,4.0,105.0,1488
NE,20200324,52.0,975.0,,,0.0,1027,0.0,0.0,619.0,2.0,621.0,1027
NH,20200324,101.0,1447.0,869.0,11.0,1.0,1548,1.0,11.0,73.0,23.0,96.0,2417
NJ,20200324,3675.0,8325.0,45.0,,44.0,12000,17.0,0.0,7966.0,831.0,8797.0,12045
NM,20200324,83.0,5890.0,,,,5973,0.0,0.0,569.0,18.0,587.0,5973
NV,20200324,278.0,3954.0,0.0,,4.0,4232,0.0,0.0,464.0,33.0,497.0,4232
NY,20200324,25665.0,65605.0,,3234.0,210.0,91270,96.0,599.0,8191.0,4790.0,12981.0,91270
OH,20200324,564.0,140.0,,145.0,8.0,704,2.0,41.0,0.0,122.0,122.0,704
OK,20200324,106.0,735.0,,25.0,3.0,841,1.0,10.0,41.0,25.0,66.0,841
OR,20200324,209.0,4350.0,,61.0,8.0,4559,3.0,5.0,701.0,18.0,719.0,4559
PA,20200324,851.0,8643.0,,,7.0,9494,1.0,0.0,2048.0,207.0,2255.0,9494
PR,20200324,39.0,268.0,42.0,,2.0,307,0.0,0.0,79.0,8.0,87.0,349
RI,20200324,106.0,1120.0,77.0,,,1226,0.0,0.0,188.0,0.0,188.0,1303
SC,20200324,298.0,2012.0,,,5.0,2310,0.0,0.0,546.0,-1.0,545.0,2310
SD,20200324,30.0,790.0,268.0,,1.0,820,0.0,0.0,28.0,2.0,30.0,1088
TN,20200324,667.0,10517.0,,,2.0,11184,0.0,0.0,7245.0,52.0,7297.0,11184
TX,20200324,410.0,10757.0,,,9.0,11167,1.0,0.0,1054.0,58.0,1112.0,11167
UT,20200324,299.0,5524.0,,,1.0,5823,0.0,0.0,734.0,42.0,776.0,5823
VA,20200324,290.0,4180.0,,45.0,7.0,4470,1.0,7.0,737.0,36.0,773.0,4470
VI,20200324,17.0,,,,0.0,17,0.0,0.0,0.0,0.0,0.0,17
VT,20200324,95.0,1440.0,,,7.0,1535,2.0,0.0,334.0,20.0,354.0,1535
WA,20200324,2221.0,31712.0,,,110.0,33933,15.0,0.0,2833.0,225.0,3058.0,33933
WI,20200324,457.0,8237.0,,,5.0,8694,0.0,0.0,1187.0,41.0,1228.0,8694
WV,20200324,20.0,610.0,0.0,1.0,0.0,630,0.0,0.0,166.0,4.0,170.0,630
WY,20200324,29.0,710.0,,,,739,0.0,0.0,118.0,3.0,121.0,739
AK,20200323,22.0,946.0,,0.0,,968,0.0,0.0,0.0,0.0,0.0,968
AL,20200323,167.0,1665.0,,,0.0,1832,0.0,0.0,201.0,29.0,230.0,1832
AR,20200323,174.0,906.0,0.0,13.0,0.0,1080,0.0,0.0,195.0,9.0,204.0,1080
AS,20200323,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200323,265.0,309.0,6.0,,2.0,574,0.0,0.0,27.0,113.0,140.0,580
CA,20200323,1733.0,12567.0,12100.0,,27.0,14300,0.0,0.0,1263.0,197.0,1460.0,26400
CO,20200323,591.0,4845.0,,58.0,6.0,5436,1.0,9.0,770.0,116.0,886.0,5436
CT,20200323,415.0,4085.0,,54.0,10.0,4500,5.0,11.0,1208.0,192.0,1400.0,4500
DC,20200323,116.0,1113.0,,,2.0,1229,1.0,0.0,156.0,18.0,174.0,1229
DE,20200323,68.0,36.0,,0.0,0.0,104,0.0,0.0,0.0,12.0,12.0,104
FL,20200323,1171.0,11063.0,860.0,217.0,14.0,12234,1.0,32.0,3073.0,341.0,3414.0,13094
GA,20200323,772.0,4297.0,,,25.0,5069,2.0,0.0,877.0,172.0,1049.0,5069
GU,20200323,29.0,161.0,,,1.0,190,0.0,0.0,35.0,2.0,37.0,190
HI,20200323,56.0,2955.0,,,,3011,0.0,0.0,2692.0,8.0,2700.0,3011
IA,20200323,105.0,2043.0,,,,2148,0.0,0.0,828.0,15.0,843.0,2148
ID,20200323,47.0,1309.0,,,0.0,1356,0.0,0.0,134.0,5.0,139.0,1356
IL,20200323,1285.0,8583.0,,,12.0,9868,3.0,0.0,1312.0,227.0,1539.0,9868
IN,20200323,259.0,1701.0,,1.0,7.0,1960,1.0,0.0,408.0,58.0,466.0,1960
KS,20200323,82.0,417.0,,,2.0,499,0.0,0.0,0.0,18.0,18.0,499
KY,20200323,104.0,1762.0,,,3.0,1866,0.0,0.0,290.0,5.0,295.0,1866
LA,20200323,1172.0,4776.0,,,34.0,5948,14.0,0.0,2115.0,335.0,2450.0,5948
MA,20200323,777.0,8145.0,,79.0,9.0,8922,4.0,8.0,2686.0,131.0,2817.0,8922
MD,20200323,288.0,94.0,,,3.0,382,0.0,0.0,0.0,44.0,44.0,382
ME,20200323,107.0,2791.0,,,,2898,0.0,0.0,527.0,18.0,545.0,2898
MI,20200323,1328.0,2069.0,,,15.0,3397,7.0,0.0,0.0,293.0,293.0,3397
MN,20200323,235.0,4511.0,,17.0,1.0,4746,0.0,5.0,0.0,66.0,66.0,4746
MO,20200323,183.0,369.0,,,3.0,552,0.0,0.0,0.0,93.0,93.0,552
MP,20200323,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200323,249.0,1143.0,,33.0,1.0,1392,0.0,0.0,29.0,42.0,71.0,1392
MT,20200323,34.0,1146.0,,,,1180,0.0,0.0,0.0,3.0,3.0,1180
NC,20200323,297.0,8141.0,,,0.0,8438,0.0,0.0,1958.0,42.0,2000.0,8438
ND,20200323,30.0,1353.0,,4.0,0.0,1383,0.0,1.0,93.0,2.0,95.0,1383
NE,20200323,50.0,356.0,,,0.0,406,0.0,0.0,0.0,2.0,2.0,406
NH,20200323,78.0,1374.0,889.0,,,1452,0.0,0.0,186.0,13.0,199.0,2341
NJ,20200323,2844.0,359.0,94.0,,27.0,3203,7.0,0.0,32.0,930.0,962.0,3297
NM,20200323,65.0,5321.0,,,,5386,0.0,0.0,599.0,8.0,607.0,5386
NV,20200323,245.0,3490.0,0.0,,4.0,3735,2.0,0.0,1042.0,55.0,1097.0,3735
NY,20200323,20875.0,57414.0,,2635.0,114.0,78289,0.0,661.0,11181.0,5707.0,16888.0,78289
OH,20200323,442.0,140.0,,104.0,6.0,582,3.0,21.0,0.0,91.0,91.0,582
OK,20200323,81.0,694.0,102.0,15.0,2.0,775,0.0,4.0,25.0,14.0,39.0,877
OR,20200323,191.0,3649.0,,56.0,5.0,3840,1.0,13.0,785.0,30.0,815.0,3840
PA,20200323,644.0,6595.0,,,6.0,7239,4.0,0.0,1631.0,165.0,1796.0,7239
PR,20200323,31.0,189.0,35.0,,2.0,220,2.0,0.0,6.0,8.0,14.0,255
RI,20200323,106.0,932.0,216.0,,,1038,0.0,0.0,0.0,23.0,23.0,1254
SC,20200323,299.0,1466.0,,,5.0,1765,2.0,0.0,0.0,104.0,104.0,1765
SD,20200323,28.0,762.0,265.0,,1.0,790,0.0,0.0,22.0,7.0,29.0,1055
TN,20200323,615.0,3272.0,,,2.0,3887,2.0,0.0,0.0,110.0,110.0,3887
TX,20200323,352.0,9703.0,,,8.0,10055,3.0,0.0,1281.0,18.0,1299.0,10055
UT,20200323,257.0,4790.0,,,1.0,5047,0.0,0.0,1282.0,76.0,1358.0,5047
VA,20200323,254.0,3443.0,,38.0,6.0,3697,3.0,6.0,325.0,35.0,360.0,3697
VI,20200323,17.0,,,,0.0,17,0.0,0.0,0.0,11.0,11.0,17
VT,20200323,75.0,1106.0,,,5.0,1181,3.0,0.0,0.0,23.0,23.0,1181
WA,20200323,1996.0,28879.0,,,95.0,30875,1.0,0.0,3551.0,203.0,3754.0,30875
WI,20200323,416.0,7050.0,,,5.0,7466,1.0,0.0,820.0,31.0,851.0,7466
WV,20200323,16.0,444.0,4.0,1.0,0.0,460,0.0,0.0,59.0,4.0,63.0,464
WY,20200323,26.0,592.0,,,,618,0.0,0.0,154.0,2.0,156.0,618
AK,20200322,22.0,946.0,,0.0,,968,0.0,0.0,188.0,8.0,196.0,968
AL,20200322,138.0,1464.0,,,0.0,1602,0.0,0.0,1436.0,14.0,1450.0,1602
AR,20200322,165.0,711.0,119.0,13.0,0.0,876,0.0,13.0,144.0,47.0,191.0,995
AS,20200322,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200322,152.0,282.0,87.0,,2.0,434,1.0,0.0,42.0,48.0,90.0,521
CA,20200322,1536.0,11304.0,,,27.0,12840,3.0,0.0,55.0,257.0,312.0,12840
CO,20200322,475.0,4075.0,,49.0,5.0,4550,1.0,5.0,758.0,112.0,870.0,4550
CT,20200322,223.0,2877.0,,43.0,5.0,3100,1.0,43.0,771.0,29.0,800.0,3100
DC,20200322,98.0,957.0,,,1.0,1055,0.0,0.0,451.0,21.0,472.0,1055
DE,20200322,56.0,36.0,,,0.0,92,0.0,0.0,0.0,11.0,11.0,92
FL,20200322,830.0,7990.0,963.0,185.0,13.0,8820,1.0,27.0,1411.0,172.0,1583.0,9783
GA,20200322,600.0,3420.0,,,23.0,4020,9.0,0.0,863.0,93.0,956.0,4020
GU,20200322,27.0,126.0,,,1.0,153,1.0,0.0,18.0,12.0,30.0,153
HI,20200322,48.0,263.0,,,,311,0.0,0.0,139.0,11.0,150.0,311
IA,20200322,90.0,1215.0,,,,1305,0.0,0.0,166.0,22.0,188.0,1305
ID,20200322,42.0,1175.0,,,0.0,1217,0.0,0.0,295.0,11.0,306.0,1217
IL,20200322,1058.0,7271.0,,,9.0,8329,3.0,0.0,1783.0,299.0,2082.0,8329
IN,20200322,201.0,1293.0,,1.0,6.0,1494,2.0,0.0,586.0,75.0,661.0,1494
KS,20200322,64.0,417.0,,,2.0,481,0.0,0.0,0.0,9.0,9.0,481
KY,20200322,99.0,1472.0,,,3.0,1571,1.0,0.0,758.0,45.0,803.0,1571
LA,20200322,837.0,2661.0,,,20.0,3498,4.0,0.0,481.0,252.0,733.0,3498
MA,20200322,646.0,5459.0,,71.0,5.0,6105,4.0,10.0,707.0,121.0,828.0,6105
MD,20200322,244.0,94.0,,,3.0,338,1.0,0.0,0.0,54.0,54.0,338
ME,20200322,89.0,2264.0,,,,2353,0.0,0.0,0.0,16.0,16.0,2353
MI,20200322,1035.0,2069.0,,,8.0,3104,3.0,0.0,0.0,248.0,248.0,3104
MN,20200322,169.0,4511.0,,12.0,1.0,4680,0.0,12.0,559.0,31.0,590.0,4680
MO,20200322,90.0,369.0,,,3.0,459,0.0,0.0,0.0,17.0,17.0,459
MP,20200322,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200322,207.0,1114.0,,33.0,1.0,1321,0.0,33.0,419.0,67.0,486.0,1321
MT,20200322,31.0,1146.0,,,,1177,0.0,0.0,0.0,11.0,11.0,1177
NC,20200322,255.0,6183.0,,,0.0,6438,0.0,0.0,1091.0,71.0,1162.0,6438
ND,20200322,28.0,1260.0,,3.0,0.0,1288,0.0,0.0,119.0,0.0,119.0,1288
NE,20200322,48.0,356.0,,,0.0,404,0.0,0.0,0.0,10.0,10.0,404
NH,20200322,65.0,1188.0,959.0,,,1253,0.0,0.0,215.0,10.0,225.0,2212
NJ,20200322,1914.0,327.0,49.0,,20.0,2241,4.0,0.0,33.0,587.0,620.0,2290
NM,20200322,57.0,4722.0,,,,4779,0.0,0.0,951.0,0.0,951.0,4779
NV,20200322,190.0,2448.0,,,2.0,2638,0.0,0.0,64.0,66.0,130.0,2638
NY,20200322,15168.0,46233.0,,1974.0,114.0,61401,70.0,371.0,11152.0,4812.0,15964.0,61401
OH,20200322,351.0,140.0,,83.0,3.0,491,0.0,25.0,0.0,104.0,104.0,491
OK,20200322,67.0,669.0,102.0,11.0,2.0,736,1.0,1.0,109.0,14.0,123.0,838
OR,20200322,161.0,2864.0,,43.0,4.0,3025,1.0,43.0,861.0,47.0,908.0,3025
PA,20200322,479.0,4964.0,,,2.0,5443,0.0,0.0,1198.0,108.0,1306.0,5443
PR,20200322,23.0,183.0,69.0,,,206,0.0,0.0,40.0,2.0,42.0,275
RI,20200322,83.0,932.0,216.0,,,1015,0.0,0.0,70.0,17.0,87.0,1231
SC,20200322,195.0,1466.0,,,3.0,1661,2.0,0.0,211.0,43.0,254.0,1661
SD,20200322,21.0,740.0,277.0,,1.0,761,0.0,0.0,49.0,7.0,56.0,1038
TN,20200322,505.0,3272.0,,,,3777,0.0,0.0,0.0,134.0,134.0,3777
TX,20200322,334.0,8422.0,,,5.0,8756,0.0,0.0,2204.0,30.0,2234.0,8756
UT,20200322,181.0,3508.0,,,1.0,3689,1.0,0.0,1084.0,45.0,1129.0,3689
VA,20200322,219.0,3118.0,,32.0,3.0,3337,1.0,7.0,480.0,67.0,547.0,3337
VI,20200322,6.0,,,,0.0,6,0.0,0.0,0.0,0.0,0.0,6
VT,20200322,52.0,1106.0,,,2.0,1158,0.0,0.0,327.0,23.0,350.0,1158
WA,20200322,1793.0,25328.0,,,94.0,27121,11.0,0.0,3609.0,269.0,3878.0,27121
WI,20200322,385.0,6230.0,,,4.0,6615,0.0,0.0,1602.0,104.0,1706.0,6615
WV,20200322,12.0,385.0,1.0,1.0,0.0,397,0.0,0.0,55.0,1.0,56.0,398
WY,20200322,24.0,438.0,,,,462,0.0,0.0,0.0,1.0,1.0,462
AK,20200321,14.0,758.0,,0.0,,772,0.0,0.0,72.0,2.0,74.0,772
AL,20200321,124.0,28.0,,,0.0,152,0.0,0.0,0.0,43.0,43.0,152
AR,20200321,118.0,567.0,154.0,,,685,0.0,0.0,216.0,22.0,238.0,839
AS,20200321,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200321,104.0,240.0,122.0,,1.0,344,1.0,0.0,29.0,39.0,68.0,466
CA,20200321,1279.0,11249.0,,,24.0,12528,4.0,0.0,825.0,216.0,1041.0,12528
CO,20200321,363.0,3317.0,,44.0,4.0,3680,1.0,44.0,642.0,86.0,728.0,3680
CT,20200321,194.0,2106.0,,,4.0,2300,1.0,0.0,1502.0,0.0,1502.0,2300
DC,20200321,77.0,506.0,0.0,,1.0,583,0.0,0.0,5.0,6.0,11.0,583
DE,20200321,45.0,36.0,,,0.0,81,0.0,0.0,0.0,7.0,7.0,81
