state,date,positive,negative,pending,hospitalized,death,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,total
FL,20200321,658.0,6579.0,1002.0,158.0,12.0,7237,2.0,158.0,4709.0,138.0,4847.0,8239
GA,20200321,507.0,2557.0,,,14.0,3064,1.0,0.0,591.0,87.0,678.0,3064
GU,20200321,15.0,108.0,,,,123,0.0,0.0,22.0,1.0,23.0,123
HI,20200321,37.0,124.0,9.0,,,161,0.0,0.0,0.0,11.0,11.0,170
IA,20200321,68.0,1049.0,,,,1117,0.0,0.0,407.0,23.0,430.0,1117
ID,20200321,31.0,880.0,,,,911,0.0,0.0,290.0,8.0,298.0,911
IL,20200321,759.0,5488.0,,,6.0,6247,1.0,0.0,1792.0,169.0,1961.0,6247
IN,20200321,126.0,707.0,,1.0,4.0,833,2.0,1.0,232.0,47.0,279.0,833
KS,20200321,55.0,417.0,,,2.0,472,1.0,0.0,0.0,11.0,11.0,472
KY,20200321,54.0,714.0,,,2.0,768,1.0,0.0,122.0,7.0,129.0,768
LA,20200321,585.0,2180.0,,,16.0,2765,4.0,0.0,1612.0,106.0,1718.0,2765
MA,20200321,525.0,4752.0,,61.0,1.0,5277,0.0,61.0,1074.0,112.0,1186.0,5277
MD,20200321,190.0,94.0,,,2.0,284,1.0,0.0,0.0,41.0,41.0,284
ME,20200321,73.0,2264.0,,,,2337,0.0,0.0,0.0,16.0,16.0,2337
MI,20200321,787.0,2069.0,,,5.0,2856,2.0,0.0,0.0,238.0,238.0,2856
MN,20200321,138.0,3952.0,,,1.0,4090,1.0,0.0,211.0,23.0,234.0,4090
MO,20200321,73.0,369.0,,,3.0,442,2.0,0.0,0.0,26.0,26.0,442
MP,20200321,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200321,140.0,695.0,,,1.0,835,0.0,0.0,0.0,60.0,60.0,835
MT,20200321,20.0,1146.0,,,,1166,0.0,0.0,215.0,4.0,219.0,1166
NC,20200321,184.0,5092.0,,,0.0,5276,0.0,0.0,1996.0,47.0,2043.0,5276
ND,20200321,28.0,1141.0,,3.0,0.0,1169,0.0,3.0,341.0,8.0,349.0,1169
NE,20200321,38.0,356.0,,,0.0,394,0.0,0.0,116.0,6.0,122.0,394
NH,20200321,55.0,973.0,942.0,,,1028,0.0,0.0,228.0,11.0,239.0,1970
NJ,20200321,1327.0,294.0,40.0,,16.0,1621,5.0,0.0,30.0,437.0,467.0,1661
NM,20200321,57.0,3771.0,,,,3828,0.0,0.0,0.0,14.0,14.0,3828
NV,20200321,124.0,2384.0,,,2.0,2508,1.0,0.0,392.0,15.0,407.0,2508
NY,20200321,10356.0,35081.0,,1603.0,44.0,45437,9.0,1603.0,9756.0,3254.0,13010.0,45437
OH,20200321,247.0,140.0,,58.0,3.0,387,2.0,58.0,0.0,78.0,78.0,387
OK,20200321,53.0,560.0,144.0,10.0,1.0,613,0.0,10.0,22.0,4.0,26.0,757
OR,20200321,114.0,2003.0,433.0,,3.0,2117,0.0,0.0,0.0,0.0,0.0,2550
PA,20200321,371.0,3766.0,,,2.0,4137,1.0,0.0,1192.0,103.0,1295.0,4137
PR,20200321,21.0,143.0,71.0,,,164,0.0,0.0,29.0,7.0,36.0,235
RI,20200321,66.0,862.0,290.0,,,928,0.0,0.0,208.0,12.0,220.0,1218
SC,20200321,152.0,1255.0,,,1.0,1407,0.0,0.0,422.0,71.0,493.0,1407
SD,20200321,14.0,691.0,268.0,,1.0,705,0.0,0.0,28.0,0.0,28.0,973
TN,20200321,371.0,3272.0,,,,3643,0.0,0.0,2709.0,143.0,2852.0,3643
TX,20200321,304.0,6218.0,,,5.0,6522,0.0,0.0,1135.0,110.0,1245.0,6522
UT,20200321,136.0,2424.0,,,0.0,2560,0.0,0.0,389.0,24.0,413.0,2560
VA,20200321,152.0,2638.0,,25.0,2.0,2790,0.0,25.0,427.0,38.0,465.0,2790
VI,20200321,6.0,,,,0.0,6,0.0,0.0,0.0,3.0,3.0,6
VT,20200321,29.0,779.0,,,2.0,808,0.0,0.0,0.0,0.0,0.0,808
WA,20200321,1524.0,21719.0,,,83.0,23243,9.0,0.0,2383.0,148.0,2531.0,23243
WI,20200321,281.0,4628.0,,,4.0,4909,1.0,0.0,1173.0,75.0,1248.0,4909
WV,20200321,11.0,330.0,2.0,1.0,0.0,341,0.0,1.0,111.0,4.0,115.0,343
WY,20200321,23.0,438.0,,,,461,0.0,0.0,107.0,4.0,111.0,461
AK,20200320,12.0,686.0,,,,698,0.0,0.0,286.0,6.0,292.0,698
AL,20200320,81.0,28.0,,,0.0,109,0.0,0.0,0.0,13.0,13.0,109
AR,20200320,96.0,351.0,203.0,,,447,0.0,0.0,41.0,50.0,91.0,650
AS,20200320,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200320,65.0,211.0,101.0,,0.0,276,0.0,0.0,36.0,21.0,57.0,377
CA,20200320,1063.0,10424.0,,,20.0,11487,2.0,0.0,1637.0,139.0,1776.0,11487
CO,20200320,277.0,2675.0,,,3.0,2952,1.0,0.0,563.0,61.0,624.0,2952
CT,20200320,194.0,604.0,,,3.0,798,2.0,0.0,0.0,98.0,98.0,798
DC,20200320,71.0,501.0,1.0,,1.0,572,1.0,0.0,348.0,32.0,380.0,573
DE,20200320,38.0,36.0,,,0.0,74,0.0,0.0,0.0,8.0,8.0,74
FL,20200320,520.0,1870.0,1026.0,,10.0,2390,2.0,0.0,337.0,130.0,467.0,3416
GA,20200320,420.0,1966.0,,,13.0,2386,3.0,0.0,422.0,133.0,555.0,2386
GU,20200320,14.0,86.0,,,,100,0.0,0.0,17.0,2.0,19.0,100
HI,20200320,26.0,124.0,9.0,,,150,0.0,0.0,31.0,10.0,41.0,159
IA,20200320,45.0,642.0,,,,687,0.0,0.0,559.0,7.0,566.0,687
ID,20200320,23.0,590.0,,,,613,0.0,0.0,133.0,12.0,145.0,613
IL,20200320,590.0,3696.0,,,5.0,4286,1.0,0.0,971.0,164.0,1135.0,4286
IN,20200320,79.0,475.0,,,2.0,554,0.0,0.0,151.0,23.0,174.0,554
KS,20200320,44.0,417.0,,,1.0,461,0.0,0.0,0.0,10.0,10.0,461
KY,20200320,47.0,592.0,,,1.0,639,0.0,0.0,138.0,12.0,150.0,639
LA,20200320,479.0,568.0,,,12.0,1047,4.0,0.0,110.0,132.0,242.0,1047
MA,20200320,413.0,3678.0,,,1.0,4091,1.0,0.0,874.0,85.0,959.0,4091
MD,20200320,149.0,94.0,,,1.0,243,0.0,0.0,0.0,42.0,42.0,243
ME,20200320,57.0,2264.0,,,,2321,0.0,0.0,260.0,4.0,264.0,2321
MI,20200320,549.0,2069.0,,,3.0,2618,0.0,0.0,-44.0,213.0,169.0,2618
MN,20200320,115.0,3741.0,,,,3856,0.0,0.0,792.0,26.0,818.0,3856
MO,20200320,47.0,369.0,,,1.0,416,0.0,0.0,61.0,23.0,84.0,416
MP,20200320,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200320,80.0,695.0,,,1.0,775,1.0,0.0,143.0,30.0,173.0,775
MT,20200320,16.0,931.0,,,,947,0.0,0.0,170.0,4.0,174.0,947
NC,20200320,137.0,3096.0,,,0.0,3233,0.0,0.0,688.0,40.0,728.0,3233
ND,20200320,20.0,800.0,,,0.0,820,0.0,0.0,307.0,5.0,312.0,820
NE,20200320,32.0,240.0,,,0.0,272,0.0,0.0,0.0,5.0,5.0,272
NH,20200320,44.0,745.0,631.0,,,789,0.0,0.0,124.0,5.0,129.0,1420
NJ,20200320,890.0,264.0,86.0,,11.0,1154,2.0,0.0,54.0,148.0,202.0,1240
NM,20200320,43.0,3771.0,,,,3814,0.0,0.0,1009.0,8.0,1017.0,3814
NV,20200320,109.0,1992.0,-3.0,,1.0,2101,0.0,0.0,366.0,14.0,380.0,2098
NY,20200320,7102.0,25325.0,,,35.0,32427,23.0,0.0,7193.0,2950.0,10143.0,32427
OH,20200320,169.0,140.0,,,1.0,309,1.0,0.0,0.0,50.0,50.0,309
OK,20200320,49.0,538.0,374.0,,1.0,587,0.0,0.0,72.0,5.0,77.0,961
OR,20200320,114.0,2003.0,433.0,,3.0,2117,0.0,0.0,674.0,26.0,700.0,2550
PA,20200320,268.0,2574.0,,,1.0,2842,0.0,0.0,966.0,83.0,1049.0,2842
PR,20200320,14.0,114.0,52.0,,,128,0.0,0.0,58.0,9.0,67.0,180
RI,20200320,54.0,654.0,140.0,,,708,0.0,0.0,114.0,21.0,135.0,848
SC,20200320,81.0,833.0,,,1.0,914,0.0,0.0,250.0,21.0,271.0,914
SD,20200320,14.0,663.0,270.0,,1.0,677,0.0,0.0,112.0,3.0,115.0,947
TN,20200320,228.0,563.0,,,,791,0.0,0.0,214.0,74.0,288.0,791
TX,20200320,194.0,5083.0,,,5.0,5277,2.0,0.0,2871.0,51.0,2922.0,5277
UT,20200320,112.0,2035.0,,,0.0,2147,0.0,0.0,587.0,34.0,621.0,2147
VA,20200320,114.0,2211.0,,,2.0,2325,0.0,0.0,382.0,20.0,402.0,2325
VI,20200320,3.0,,,,0.0,3,0.0,0.0,0.0,0.0,0.0,3
VT,20200320,29.0,779.0,,,2.0,808,2.0,0.0,134.0,7.0,141.0,808
WA,20200320,1376.0,19336.0,,,74.0,20712,8.0,0.0,3418.0,189.0,3607.0,20712
WI,20200320,206.0,3455.0,,,3.0,3661,3.0,0.0,1263.0,51.0,1314.0,3661
WV,20200320,7.0,219.0,13.0,,0.0,226,0.0,0.0,76.0,5.0,81.0,239
WY,20200320,19.0,331.0,,,,350,0.0,0.0,60.0,1.0,61.0,350
AK,20200319,6.0,400.0,,,,406,0.0,0.0,-6.0,0.0,-6.0,406
AL,20200319,68.0,28.0,,,0.0,96,0.0,0.0,0.0,22.0,22.0,96
AR,20200319,46.0,310.0,113.0,,,356,0.0,0.0,74.0,13.0,87.0,469
AS,20200319,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200319,44.0,175.0,130.0,,0.0,219,0.0,0.0,27.0,16.0,43.0,349
CA,20200319,924.0,8787.0,,,18.0,9711,5.0,0.0,806.0,313.0,1119.0,9711
CO,20200319,216.0,2112.0,,,2.0,2328,0.0,0.0,495.0,33.0,528.0,2328
CT,20200319,96.0,604.0,,,1.0,700,1.0,0.0,479.0,28.0,507.0,700
DC,20200319,39.0,153.0,11.0,,0.0,192,0.0,0.0,15.0,8.0,23.0,203
DE,20200319,30.0,36.0,,,0.0,66,0.0,0.0,0.0,5.0,5.0,66
FL,20200319,390.0,1533.0,1019.0,,8.0,1923,1.0,0.0,308.0,76.0,384.0,2942
GA,20200319,287.0,1544.0,,,10.0,1831,9.0,0.0,233.0,90.0,323.0,1831
GU,20200319,12.0,69.0,,,,81,0.0,0.0,12.0,4.0,16.0,81
HI,20200319,16.0,93.0,9.0,,,109,0.0,0.0,0.0,2.0,2.0,118
IA,20200319,38.0,83.0,,,,121,0.0,0.0,0.0,9.0,9.0,121
ID,20200319,11.0,457.0,,,,468,0.0,0.0,-2.0,2.0,0.0,468
IL,20200319,426.0,2725.0,,,4.0,3151,3.0,0.0,962.0,137.0,1099.0,3151
IN,20200319,56.0,324.0,,,2.0,380,0.0,0.0,170.0,17.0,187.0,380
KS,20200319,34.0,417.0,,,1.0,451,0.0,0.0,0.0,18.0,18.0,451
KY,20200319,35.0,454.0,,,1.0,489,0.0,0.0,100.0,9.0,109.0,489
LA,20200319,347.0,458.0,,,8.0,805,2.0,0.0,123.0,107.0,230.0,805
MA,20200319,328.0,2804.0,,,,3132,0.0,0.0,789.0,72.0,861.0,3132
MD,20200319,107.0,94.0,,,1.0,201,1.0,0.0,0.0,22.0,22.0,201
ME,20200319,53.0,2004.0,,,,2057,0.0,0.0,334.0,10.0,344.0,2057
MI,20200319,336.0,2113.0,,,3.0,2449,3.0,0.0,1841.0,256.0,2097.0,2449
MN,20200319,89.0,2949.0,,,,3038,0.0,0.0,264.0,12.0,276.0,3038
MO,20200319,24.0,308.0,,,1.0,332,1.0,0.0,55.0,11.0,66.0,332
MP,20200319,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200319,50.0,552.0,,,,602,0.0,0.0,73.0,16.0,89.0,602
MT,20200319,12.0,761.0,0.0,,,773,0.0,0.0,262.0,2.0,264.0,773
NC,20200319,97.0,2408.0,,,0.0,2505,0.0,0.0,621.0,34.0,655.0,2505
ND,20200319,15.0,493.0,,,0.0,508,0.0,0.0,225.0,9.0,234.0,508
NE,20200319,27.0,240.0,,,0.0,267,0.0,0.0,34.0,3.0,37.0,267
NH,20200319,39.0,621.0,231.0,,,660,0.0,0.0,108.0,13.0,121.0,891
NJ,20200319,742.0,210.0,74.0,,9.0,952,4.0,0.0,20.0,315.0,335.0,1026
NM,20200319,35.0,2762.0,,,,2797,0.0,0.0,436.0,7.0,443.0,2797
NV,20200319,95.0,1626.0,,,1.0,1721,0.0,0.0,1458.0,40.0,1498.0,1721
NY,20200319,4152.0,18132.0,,,12.0,22284,0.0,0.0,5917.0,1770.0,7687.0,22284
OH,20200319,119.0,140.0,,,,259,0.0,0.0,0.0,31.0,31.0,259
OK,20200319,44.0,466.0,250.0,,1.0,510,1.0,0.0,88.0,15.0,103.0,760
OR,20200319,88.0,1329.0,437.0,,3.0,1417,0.0,0.0,211.0,13.0,224.0,1854
PA,20200319,185.0,1608.0,,,1.0,1793,1.0,0.0,421.0,52.0,473.0,1793
PR,20200319,5.0,56.0,29.0,,,61,0.0,0.0,25.0,0.0,25.0,90
RI,20200319,33.0,540.0,334.0,,,573,0.0,0.0,0.0,0.0,0.0,907
SC,20200319,60.0,583.0,,,1.0,643,0.0,0.0,0.0,0.0,0.0,643
SD,20200319,11.0,551.0,385.0,,1.0,562,0.0,0.0,0.0,0.0,0.0,947
TN,20200319,154.0,349.0,,,,503,0.0,0.0,0.0,56.0,56.0,503
TX,20200319,143.0,2212.0,,,3.0,2355,1.0,0.0,388.0,60.0,448.0,2355
UT,20200319,78.0,1448.0,,,0.0,1526,0.0,0.0,1317.0,15.0,1332.0,1526
VA,20200319,94.0,1829.0,,,2.0,1923,1.0,0.0,628.0,17.0,645.0,1923
VI,20200319,3.0,,,,0.0,3,0.0,0.0,0.0,1.0,1.0,3
VT,20200319,22.0,645.0,,,,667,0.0,0.0,53.0,3.0,56.0,667
WA,20200319,1187.0,15918.0,,,66.0,17105,14.0,0.0,2801.0,175.0,2976.0,17105
WI,20200319,155.0,2192.0,,,,2347,0.0,0.0,615.0,49.0,664.0,2347
WV,20200319,2.0,143.0,3.0,,0.0,145,0.0,0.0,21.0,1.0,22.0,148
WY,20200319,18.0,271.0,,,,289,0.0,0.0,93.0,3.0,96.0,289
AK,20200318,6.0,406.0,,,,412,0.0,0.0,72.0,3.0,75.0,412
AL,20200318,46.0,28.0,,,0.0,74,0.0,0.0,0.0,10.0,10.0,74
AR,20200318,33.0,236.0,50.0,,,269,0.0,0.0,39.0,11.0,50.0,319
AS,20200318,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200318,28.0,148.0,102.0,,0.0,176,0.0,0.0,6.0,8.0,14.0,278
CA,20200318,611.0,7981.0,,,13.0,8592,2.0,0.0,0.0,128.0,128.0,8592
CO,20200318,183.0,1617.0,,,2.0,1800,1.0,0.0,561.0,23.0,584.0,1800
CT,20200318,68.0,125.0,,,,193,0.0,0.0,0.0,27.0,27.0,193
DC,20200318,31.0,138.0,1.0,,,169,0.0,0.0,34.0,9.0,43.0,170
DE,20200318,25.0,36.0,,,,61,0.0,0.0,0.0,9.0,9.0,61
FL,20200318,314.0,1225.0,954.0,,7.0,1539,1.0,0.0,285.0,128.0,413.0,2493
GA,20200318,197.0,1311.0,,,1.0,1508,0.0,0.0,1311.0,51.0,1362.0,1508
GU,20200318,8.0,57.0,,,,65,0.0,0.0,16.0,3.0,19.0,65
HI,20200318,14.0,93.0,12.0,,,107,0.0,0.0,93.0,4.0,97.0,119
IA,20200318,29.0,83.0,,,,112,0.0,0.0,0.0,6.0,6.0,112
ID,20200318,9.0,459.0,,,,468,0.0,0.0,113.0,2.0,115.0,468
IL,20200318,289.0,1763.0,,,1.0,2052,0.0,0.0,423.0,129.0,552.0,2052
IN,20200318,39.0,154.0,,,2.0,193,0.0,0.0,25.0,9.0,34.0,193
KS,20200318,16.0,417.0,,,1.0,433,0.0,0.0,35.0,1.0,36.0,433
KY,20200318,26.0,354.0,,,1.0,380,0.0,0.0,59.0,4.0,63.0,380
LA,20200318,240.0,335.0,,,6.0,575,2.0,0.0,49.0,69.0,118.0,575
MA,20200318,256.0,2015.0,,,,2271,0.0,0.0,474.0,38.0,512.0,2271
MD,20200318,85.0,94.0,,,,179,0.0,0.0,0.0,28.0,28.0,179
ME,20200318,43.0,1670.0,,,,1713,0.0,0.0,367.0,11.0,378.0,1713
MI,20200318,80.0,272.0,,,,352,0.0,0.0,0.0,15.0,15.0,352
MN,20200318,77.0,2685.0,,,,2762,0.0,0.0,409.0,17.0,426.0,2762
MO,20200318,13.0,253.0,,,0.0,266,0.0,0.0,46.0,5.0,51.0,266
MP,20200318,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200318,34.0,479.0,,,,513,0.0,0.0,111.0,13.0,124.0,513
MT,20200318,10.0,499.0,0.0,,,509,0.0,0.0,196.0,2.0,198.0,509
NC,20200318,63.0,1787.0,,,0.0,1850,0.0,0.0,1313.0,23.0,1336.0,1850
ND,20200318,6.0,268.0,,,0.0,274,0.0,0.0,48.0,3.0,51.0,274
NE,20200318,24.0,206.0,,,,230,0.0,0.0,0.0,3.0,3.0,230
NH,20200318,26.0,513.0,208.0,,,539,0.0,0.0,158.0,9.0,167.0,747
NJ,20200318,427.0,190.0,21.0,,5.0,617,2.0,0.0,27.0,160.0,187.0,638
NM,20200318,28.0,2326.0,,,,2354,0.0,0.0,1077.0,5.0,1082.0,2354
NV,20200318,55.0,168.0,,,1.0,223,0.0,0.0,0.0,0.0,0.0,223
NY,20200318,2382.0,12215.0,,,12.0,14597,5.0,0.0,6709.0,682.0,7391.0,14597
OH,20200318,88.0,140.0,,,,228,0.0,0.0,0.0,21.0,21.0,228
OK,20200318,29.0,378.0,110.0,,,407,0.0,0.0,131.0,12.0,143.0,517
OR,20200318,75.0,1118.0,361.0,,3.0,1193,3.0,0.0,429.0,28.0,457.0,1554
PA,20200318,133.0,1187.0,,,,1320,0.0,0.0,308.0,37.0,345.0,1320
PR,20200318,5.0,31.0,21.0,,,36,0.0,0.0,18.0,0.0,18.0,57
RI,20200318,33.0,540.0,334.0,,,573,0.0,0.0,232.0,12.0,244.0,907
SC,20200318,60.0,583.0,,,1.0,643,0.0,0.0,272.0,27.0,299.0,643
SD,20200318,11.0,551.0,350.0,,1.0,562,1.0,0.0,0.0,0.0,0.0,913
TN,20200318,98.0,349.0,,,,447,0.0,0.0,19.0,25.0,44.0,447
TX,20200318,83.0,1824.0,,,2.0,1907,1.0,0.0,620.0,19.0,639.0,1907
UT,20200318,63.0,131.0,,,0.0,194,0.0,0.0,0.0,12.0,12.0,194
VA,20200318,77.0,1201.0,,,1.0,1278,0.0,0.0,240.0,10.0,250.0,1278
VI,20200318,2.0,,,,0.0,2,0.0,0.0,0.0,0.0,0.0,2
VT,20200318,19.0,592.0,,,,611,0.0,0.0,97.0,9.0,106.0,611
WA,20200318,1012.0,13117.0,,,52.0,14129,4.0,0.0,1535.0,108.0,1643.0,14129
WI,20200318,106.0,1577.0,,,,1683,0.0,0.0,539.0,34.0,573.0,1683
WV,20200318,1.0,122.0,14.0,,0.0,123,0.0,0.0,42.0,1.0,43.0,137
WY,20200318,15.0,178.0,,,,193,0.0,0.0,83.0,5.0,88.0,193
AK,20200317,3.0,334.0,,,,337,0.0,0.0,191.0,2.0,193.0,337
AL,20200317,36.0,28.0,,,0.0,64,0.0,0.0,0.0,8.0,8.0,64
AR,20200317,22.0,197.0,41.0,,,219,0.0,0.0,65.0,0.0,65.0,260
AS,20200317,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
AZ,20200317,20.0,142.0,66.0,,0.0,162,0.0,0.0,17.0,2.0,19.0,228
CA,20200317,483.0,7981.0,,,11.0,8464,5.0,0.0,0.0,148.0,148.0,8407
CO,20200317,160.0,1056.0,,,1.0,1216,0.0,0.0,429.0,29.0,458.0,1216
CT,20200317,41.0,125.0,,,,166,0.0,0.0,0.0,15.0,15.0,166
DC,20200317,22.0,104.0,0.0,,,126,0.0,0.0,8.0,5.0,13.0,126
DE,20200317,16.0,36.0,,,,52,0.0,0.0,0.0,8.0,8.0,52
FL,20200317,186.0,940.0,872.0,,6.0,1126,2.0,0.0,256.0,45.0,301.0,1998
GA,20200317,146.0,,,,1.0,146,0.0,0.0,0.0,25.0,25.0,146
GU,20200317,5.0,41.0,,,,46,0.0,0.0,18.0,2.0,20.0,46
HI,20200317,10.0,,,,,10,0.0,0.0,0.0,3.0,3.0,10
IA,20200317,23.0,83.0,,,,106,0.0,0.0,0.0,1.0,1.0,106
ID,20200317,7.0,346.0,,,,353,0.0,0.0,81.0,2.0,83.0,353
IL,20200317,160.0,1340.0,,,1.0,1500,1.0,0.0,408.0,67.0,475.0,1500
IN,20200317,30.0,129.0,,,2.0,159,1.0,0.0,14.0,6.0,20.0,159
KS,20200317,15.0,382.0,,,1.0,397,0.0,0.0,216.0,4.0,220.0,397
KY,20200317,22.0,295.0,,,1.0,317,0.0,0.0,61.0,1.0,62.0,317
LA,20200317,171.0,286.0,,,4.0,457,2.0,0.0,98.0,57.0,155.0,457
MA,20200317,218.0,1541.0,,,,1759,0.0,0.0,1189.0,54.0,1243.0,1759
MD,20200317,57.0,94.0,,,,151,0.0,0.0,0.0,20.0,20.0,151
ME,20200317,32.0,1303.0,,,,1335,0.0,0.0,539.0,15.0,554.0,1335
MI,20200317,65.0,272.0,,,,337,0.0,0.0,0.0,12.0,12.0,337
MN,20200317,60.0,2276.0,,,,2336,0.0,0.0,437.0,6.0,443.0,2336
MO,20200317,8.0,207.0,,,0.0,215,0.0,0.0,43.0,2.0,45.0,215
MP,20200317,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0
MS,20200317,21.0,368.0,,,,389,0.0,0.0,91.0,9.0,100.0,389
MT,20200317,8.0,303.0,0.0,,,311,0.0,0.0,105.0,1.0,106.0,311
NC,20200317,40.0,474.0,,,0.0,514,0.0,0.0,178.0,7.0,185.0,514
ND,20200317,3.0,220.0,0.0,,0.0,223,0.0,0.0,97.0,2.0,99.0,223
NE,20200317,21.0,206.0,,,,227,0.0,0.0,36.0,3.0,39.0,227
NH,20200317,17.0,355.0,195.0,,,372,0.0,0.0,84.0,4.0,88.0,567
NJ,20200317,267.0,163.0,55.0,,3.0,430,1.0,0.0,43.0,89.0,132.0,485
NM,20200317,23.0,1249.0,,,,1272,0.0,0.0,683.0,6.0,689.0,1272
NV,20200317,55.0,168.0,,,1.0,223,0.0,0.0,0.0,10.0,10.0,223
NY,20200317,1700.0,5506.0,,,7.0,7206,0.0,0.0,963.0,750.0,1713.0,7206
OH,20200317,67.0,140.0,,,,207,0.0,0.0,0.0,17.0,17.0,207
OK,20200317,17.0,247.0,82.0,,,264,0.0,0.0,73.0,7.0,80.0,346
OR,20200317,47.0,689.0,184.0,,,736,0.0,0.0,110.0,8.0,118.0,920
PA,20200317,96.0,879.0,,,,975,0.0,0.0,209.0,20.0,229.0,975
